movieId,title,release_date,video_release_date,imdb_url,imdb_title_id,original_title,year,date_published,genres,duration,country,language,director,screen writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,productionId_x,volume,remaining_volume
461,Smoke,1-Jan-95,,http://us.imdb.com/M/title-exact?Smoke%20(1995),tt0114478,Smoke,1995,4/19/96,"Comedy, Drama",112,"Germany, Japan, USA",English,Wayne Wang,Paul Auster,Miramax,"Giancarlo Esposito, José Zúñiga, Stephen Gevedon, Harvey Keitel, Jared Harris, William Hurt, Daniel Auster, Harold Perrineau, Deirdre O'Connell, Victor Argo, Michelle Hurst, Forest Whitaker, Stockard Channing, Vincenzo Amelia, Erica Gimpel","A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",7.4,31716,"$7,000,000 ","$8,367,636 ","$8,367,636 ",70,80,60,2,1,1
762,Beautiful Girls,9-Feb-96,,http://us.imdb.com/M/title-exact?Beautiful%20Girls%20(1996),tt0115639,Beautiful Girls,1996,2/9/96,"Comedy, Drama, Romance",112,USA,English,Ted Demme,Scott Rosenberg,Miramax,"Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly, Timothy Hutton, Rosie O'Donnell, Max Perlich, Martha Plimpton, Natalie Portman, Michael Rapaport, Mira Sorvino, Uma Thurman, Pruitt Taylor Vince, Anne Bobby, Richard Bright",A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.,7.1,30143,,"$10,597,759 ","$10,597,759 ",64,188,69,2,1,1
792,Bullets Over Broadway,1-Jan-94,,http://us.imdb.com/M/title-exact?Bullets%20Over%20Broadway%20(1994),tt0109348,Bullets Over Broadway,1994,5/5/95,"Comedy, Crime",98,USA,English,Woody Allen,"Woody Allen, Douglas McGrath",Miramax,"John Cusack, Dianne Wiest, Jennifer Tilly, Chazz Palminteri, Mary-Louise Parker, Jack Warden, Joe Viterelli, Rob Reiner, Tracey Ullman, Jim Broadbent, Harvey Fierstein, Stacey Nelkin, Malgorzata Zajaczkowska, Charles Cragin, Nina von Arx","In New York in 1928, a struggling playwright is forced to cast a mobster's talentless girlfriend in his latest drama in order to get it produced.",7.4,33636,"$20,000,000 ","$13,383,747 ","$13,383,747 ",,89,64,2,1,1
875,She's So Lovely,22-Aug-97,,http://us.imdb.com/M/title-exact?She%27s+So+Lovely+(1997),tt0120112,She's So Lovely,1997,8/20/97,"Drama, Romance",100,"France, USA",English,Nick Cassavetes,John Cassavetes,Miramax,"Robin Wright, James Gandolfini, Susan Traylor, Harry Dean Stanton, Debi Mazar, Bobby Cooper, John Marshall Jones, Chloe Webb, Sean Penn, James Soravilla, Jamie Bozian, Paul Johansson, Justina Machado, Tito Larriva, Tony Marsico","After being released from a psychiatric institution, a man tries to redeem himself in the eyes of his now-ex wife from the events that led up to his incarceration.",5.9,7748,"$18,000,000 ","$7,281,450 ","$7,281,450 ",,76,56,2,1,1
885,Phantoms,1-Jan-98,,http://us.imdb.com/M/title-exact?Phantoms+(1998),tt0119891,Phantoms,1998,1/23/98,"Horror, Sci-Fi, Thriller",96,"USA, Japan",English,Joe Chappelle,"Dean R. Koontz, Dean R. Koontz",Miramax,"Peter O'Toole, Rose McGowan, Joanna Going, Liev Schreiber, Ben Affleck, Nicky Katt, Clifton Powell, Rick Otto, Valerie Chow, Adam Nelson, John Hammil, John Scott Clough, Michael DeLorenzo, William Hahn, Robert Himber","One hundred fifty dead, and three hundred fifty missing in the tiny mountain town of Snowfield, Colorado, and that's only the beginning.",5.5,18745,,"$5,624,282 ","$5,624,282 ",26,188,89,2,1,1
920,Two Bits,1-Jan-95,,http://us.imdb.com/M/title-exact?Two%20Bits%20(1995),tt0114753,Two Bits,1995,11/22/95,Drama,85,USA,English,James Foley,Joseph Stefano,Miramax,"Jerry Barone, Mary Elizabeth Mastrantonio, Al Pacino, Patrick Borriello, Andy Romano, Donna Mitchell, Mary Lou Rosato, Joe Grifasi, Rosemary De Angelis, Ron McLarty, Charley Scalies, Joanna Merlin, Geoff Pierson, Karen Shallo, Nick Discenza","It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's ...",6.2,3093,,"$26,282 ","$26,282 ",,21,13,2,1,1
952,Blue in the Face,1-Jan-95,,http://us.imdb.com/M/title-exact?Blue%20in%20the%20Face%20(1995),tt0112541,Blue in the Face,1995,10/13/95,Comedy,83,USA,English,"Paul Auster, Wayne Wang","Paul Auster, Wayne Wang",Miramax,"Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham, Jim Jarmusch, Lily Tomlin, Jared Harris, Giancarlo Esposito, Malik Yoba, José Zúñiga, Victor Argo, Stephen Gevedon, The John Lurie National Orchestra, Madonna, Sharif Rashed","Brooklyn Cigar Store is a neighborhood hangout in Brooklyn with Auggie Wren/H.Keitel as center. Some people are interviewed about Brooklyn, spiced up with statistics on Brooklyn.",6.7,8637,"$2,000,000 ","$1,268,636 ","$1,268,636 ",54,44,33,2,1,1
1114,Faithful,3-Apr-96,,http://us.imdb.com/M/title-exact?Faithful%20(1996),tt0116269,Faithful,1996,4/3/96,"Comedy, Crime, Drama",91,USA,English,Paul Mazursky,"Chazz Palminteri, Chazz Palminteri",Miramax,"Cher, Chazz Palminteri, Ryan O'Neal, Paul Mazursky, Amber Smith, Elisa Leonetti, Mark Nassar, Stephen Spinella, Jeffrey Wright, David Marino, Steven Randazzo, Olinda Turturro, Max Norat, Allison Janney, Chris O'Neill","A depressed housewife whose husband is having an affair contemplates suicide, but changes her mind when she faces death by a killer hired to do her in.",5.9,1889,"$13,000,000 ","$2,104,439 ","$2,104,439 ",,19,22,2,1,1
1679,B. Monkey,6-Feb-98,,http://us.imdb.com/M/title-exact?B%2E+Monkey+(1998),tt0120594,B. Monkey,1998,7/15/99,"Crime, Drama, Romance",92,"UK, USA","English, Italian, French",Michael Radford,"Andrew Davies, Chloe King",Miramax,"Asia Argento, Jared Harris, Rupert Everett, Jonathan Rhys Meyers, Julie T. Wallace, Ian Hart, Tim Woodward, Bryan Pringle, Clare Higgins, Simone Bowkett, Marc Warren, Camilo Gallardo, Michael Carlin, Paul Ireland, Elizabeth Ash",A young woman attempts to end her criminal career. But she needs love to make it.,5.9,3201,,"$39,371 ","$50,832 ",49,47,32,2,1,1
4,Get Shorty,1-Jan-95,,http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),tt0113161,Get Shorty,1995,3/15/96,"Comedy, Crime, Thriller",105,USA,English,Barry Sonnenfeld,"Elmore Leonard, Scott Frank",Metro-Goldwyn-Mayer (MGM),"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini, Jon Gries, Renee Props, David Paymer, Martin Ferrero, Miguel Sandoval, Jacob Vargas, Linda Hart, Bobby Slayton","A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",6.9,72223,"$30,250,000 ","$72,101,622 ","$115,101,622 ",82,158,105,3,1,1
36,Mad Love,1-Jan-95,,http://us.imdb.com/M/title-exact?Mad%20Love%20(1995),tt0026663,Mad Love,1935,7/12/35,"Horror, Romance, Sci-Fi",68,USA,English,Karl Freund,"Maurice Renard, Florence Crewe-Jones",Metro-Goldwyn-Mayer (MGM),"Peter Lorre, Frances Drake, Colin Clive, Ted Healy, Sara Haden, Edward Brophy, Henry Kolker, Keye Luke, May Beatty, George Davis, Billy Dooley, Harold Huber, Isabel Jewell, Leo White","In France, an insane surgeon's obsession with an actress from England leads him to replace her pianist husband's hands that got mangled in an accident with the hands of a late knife murderer which still have the urge to throw knives.",7.3,4096,"$257,502 ",,,,85,33,3,1,1
107,Moll Flanders,14-Jun-96,,http://us.imdb.com/M/title-exact?Moll%20Flanders%20(1996),tt0117071,Moll Flanders,1996,6/14/96,"Drama, Romance",123,USA,English,Pen Densham,"Daniel Defoe, Pen Densham",Metro-Goldwyn-Mayer (MGM),"Robin Wright, Morgan Freeman, Stockard Channing, John Lynch, Brenda Fricker, Geraldine James, Aisling Corcoran, Jim Sheridan, Jeremy Brett, Britta Smith, Cathy Murphy, Emma McIvor, Maria Doyle Kennedy, Ger Ryan, Harry Towb","The daughter of a thief, young Moll is placed in the care of a nunnery after the execution of her mother. However, the actions of an abusive priest lead Moll to rebel as a teenager, ...",6.5,3791,,"$3,486,957 ","$3,486,957 ",,40,24,3,1,1
124,Lone Star,21-Jun-96,,http://us.imdb.com/M/title-exact?Lone%20Star%20(1996),tt0043751,Lone Star,1952,5/30/52,"Action, Adventure, History",94,USA,English,Vincent Sherman,"Borden Chase, Howard Estabrook",Metro-Goldwyn-Mayer (MGM),"Clark Gable, Ava Gardner, Broderick Crawford, Lionel Barrymore, Beulah Bondi, Ed Begley, James Burke, William Farnum, Lowell Gilmore, Moroni Olsen, Russell Simpson, William Conrad, Lucius Cook, Ralph Reed, Ric Roman",Ex-President Andrew Jackson sends Texan Devereaux Burke back home on a mission to facilitate Sam Houston's drive for U.S. statehood.,6.2,823,"$1,600,000 ",,,,17,7,3,1,1
135,2001: A Space Odyssey,1-Jan-68,,http://us.imdb.com/M/title-exact?2001:%20A%20Space%20Odyssey%20(1968),tt0062622,2001: A Space Odyssey,1968,7/26/68,"Adventure, Sci-Fi",149,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",Metro-Goldwyn-Mayer (MGM),"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, Leonard Rossiter, Margaret Tyzack, Robert Beatty, Sean Sullivan, Douglas Rain, Frank Miller, Bill Weston, Ed Bishop, Glenn Beck, Alan Gifford, Ann Gillis","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",8.3,558202,"$12,000,000 ","$60,541,301 ","$68,763,373 ",82,2013,254,3,1,1
283,Emma,2-Aug-96,,http://us.imdb.com/M/title-exact?Emma%20(1996),tt0022854,Emma,1932,6/3/32,Drama,72,USA,English,Clarence Brown,"Frances Marion, Leonard Praskins",Metro-Goldwyn-Mayer (MGM),"Marie Dressler, Richard Cromwell, Jean Hersholt, Myrna Loy, John Miljan, Purnell Pratt, Leila Bennett, Barbara Kent, Kathryn Crawford, George Meeker, Dale Fuller, Wilfred Noy, André Cheron","After decades of raising the motherless Smith children, housekeeper Emma Thatcher is faced with resentment when she marries their father.",7.1,786,"$350,000 ",,,,27,3,3,1,1
368,Bio-Dome,1-Jan-96,,http://us.imdb.com/M/title-exact?Bio-Dome%20(1996),tt0115683,Bio-Dome,1996,1/12/96,Comedy,88,USA,English,Jason Bloom,"Adam Leff, Mitchell Peck",Metro-Goldwyn-Mayer (MGM),"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West, Kylie Minogue, Pauly Shore, Stephen Baldwin, Joey Lauren Adams, Teresa Hill, Patricia Hearst, Robbie Thibaut Jr., Adam Weisman, Henry Gibson, Brian Hayes Currie, Courtney Mizel","Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",4.4,24890,"$15,000,000 ","$13,427,615 ","$13,427,615 ",1,141,29,3,1,1
414,My Favorite Year,1-Jan-82,,http://us.imdb.com/M/title-exact?My%20Favorite%20Year%20(1982),tt0084370,My Favorite Year,1982,10/8/82,"Comedy, Drama",92,USA,English,Richard Benjamin,"Norman Steinberg, Dennis Palumbo",Metro-Goldwyn-Mayer (MGM),"Peter O'Toole, Mark Linn-Baker, Jessica Harper, Joseph Bologna, Bill Macy, Lainie Kazan, Anne De Salvo, Basil Hoffman, Lou Jacobi, Adolph Green, Tony DiBenedetto, George Wyner, Selma Diamond, Cameron Mitchell, Jenny Neumann",A dissolute matinee idol is slated to appear on a live TV variety show.,7.4,8175,,"$20,123,620 ","$20,123,620 ",,83,23,3,1,1
434,Forbidden Planet,1-Jan-56,,http://us.imdb.com/M/title-exact?Forbidden%20Planet%20(1956),tt0049223,Forbidden Planet,1956,8/31/56,"Action, Adventure, Sci-Fi",98,USA,English,Fred M. Wilcox,"Cyril Hume, Irving Block",Metro-Goldwyn-Mayer (MGM),"Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens, Jack Kelly, Richard Anderson, Earl Holliman, George Wallace, Robert Dix, Jimmy Thompson, James Drury, Harry Harvey Jr., Roger McGee, Peter Miller, Morgan Jones",A starship crew goes to investigate the silence of a planet's colony only to find two survivors and a deadly secret that one of them has.,7.6,42392,"$1,900,000 ",,,,338,97,3,1,1
480,North by Northwest,1-Jan-59,,http://us.imdb.com/M/title-exact?North%20by%20Northwest%20(1959),tt0053125,North by Northwest,1959,2/19/60,"Adventure, Mystery, Thriller",136,USA,"English, French",Alfred Hitchcock,Ernest Lehman,Metro-Goldwyn-Mayer (MGM),"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, Leo G. Carroll, Josephine Hutchinson, Philip Ober, Martin Landau, Adam Williams, Edward Platt, Robert Ellenstein, Les Tremayne, Philip Coolidge, Patrick McVey, Edward Binns",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,8.3,278744,"$3,101,000 ",,"$55,597 ",98,569,164,3,1,1
526,Ben-Hur,1-Jan-59,,http://us.imdb.com/M/title-exact?Ben-Hur%20(1959),tt0052618,Ben-Hur,1959,9/9/60,"Adventure, Drama, History",212,USA,English,William Wyler,"Lew Wallace, Karl Tunberg",Metro-Goldwyn-Mayer (MGM),"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd, Hugh Griffith, Martha Scott, Cathy O'Donnell, Sam Jaffe, Finlay Currie, Frank Thring, Terence Longdon, George Relph, André Morell","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",8.1,205586,"$15,000,000 ","$74,422,622 ","$74,427,638 ",90,416,128,3,1,1
552,Species,1-Jan-95,,http://us.imdb.com/M/title-exact?Species%20(1995),tt0114508,Species,1995,10/13/95,"Action, Horror, Sci-Fi",108,USA,English,Roger Donaldson,Dennis Feldman,Metro-Goldwyn-Mayer (MGM),"Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker, Marg Helgenberger, Natasha Henstridge, Michelle Williams, Jordan Lund, Don Fischer, Scott McKenna, Virginia Morris, Jayne Luke, David K. Schroeder, David Jensen, Esther Scott",A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,5.8,70538,"$35,000,000 ","$60,074,103 ","$113,374,103 ",49,154,119,3,1,1
568,Speed,1-Jan-94,,http://us.imdb.com/M/title-exact?Speed%20(1994/I),tt0028291,Speed,1936,5/8/36,"Action, Drama, Romance",70,USA,English,Edwin L. Marin,"Milton Krims, Lawrence P. Bachmann",Metro-Goldwyn-Mayer (MGM),"James Stewart, Wendy Barrie, Una Merkel, Weldon Heyburn, Ted Healy, Ralph Morgan, Patricia Wilder","With the help of his mechanic buddy, an engineer, and the company's attractive new publicist, an automotive test driver struggles to develop a new carburetor by entering cars in the Indy 500 and speed trials at California's Muroc Dry Lake.",6,392,,,,,12,3,3,1,1
572,Blown Away,1-Jan-94,,http://us.imdb.com/M/title-exact?Blown%20Away%20(1994),tt0109303,Blown Away,1994,9/2/94,"Action, Crime, Drama",121,USA,"English, Irish",Stephen Hopkins,"John Rice, Joe Batteer",Metro-Goldwyn-Mayer (MGM),"Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges, Forest Whitaker, Stephi Lineburg, John Finn, Caitlin Clarke, Christofer de Oni, Loyd Catlett, Ruben Santiago-Hudson, Lucinda Weist, Brendan Burns, Tricia Heine, Josh McLaglen",An Irish bomber escapes from prison and targets a member of the Boston bomb squad.,6.2,26759,"$28,000,000 ","$30,156,002 ","$30,156,002 ",,71,43,3,1,1
605,Meet Me in St. Louis,1-Jan-44,,http://us.imdb.com/M/title-exact?Meet%20Me%20in%20St.%20Louis%20(1944),tt0037059,Meet Me in St. Louis,1944,1/1/45,"Comedy, Drama, Family",113,USA,English,Vincente Minnelli,"Irving Brecher, Fred F. Finklehoffe",Metro-Goldwyn-Mayer (MGM),"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, Leon Ames, Tom Drake, Marjorie Main, Harry Davenport, June Lockhart, Henry H. Daniels Jr., Joan Carroll, Hugh Marlowe, Robert Sully, Chill Wills","In the year leading up to the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",7.6,18661,"$1,700,000 ",,"$82,411 ",,159,103,3,1,1
609,Father of the Bride,1-Jan-50,,http://us.imdb.com/M/title-exact?Father%20of%20the%20Bride%20(1950),tt0042451,Father of the Bride,1950,6/16/50,"Comedy, Romance",92,USA,English,Vincente Minnelli,"Frances Goodrich, Albert Hackett",Metro-Goldwyn-Mayer (MGM),"Spencer Tracy, Joan Bennett, Elizabeth Taylor, Don Taylor, Billie Burke, Leo G. Carroll, Moroni Olsen, Melville Cooper, Taylor Holmes, Paul Harvey, Frank Orth, Russ Tamblyn, Tom Irish, Marietta Canty","The father of a young woman deals with the emotional pain of her getting married, along with the financial and organizational trouble of arranging the wedding.",7.2,9390,,,,,59,39,3,1,1
623,Angels in the Outfield,1-Jan-94,,http://us.imdb.com/M/title-exact?Angels%20in%20the%20Outfield%20(1994),tt0043286,Angels in the Outfield,1951,10/19/51,"Comedy, Family, Fantasy",99,USA,English,Clarence Brown,"Richard Conlin, Dorothy Kingsley",Metro-Goldwyn-Mayer (MGM),"Paul Douglas, Janet Leigh, Keenan Wynn, Donna Corcoran, Lewis Stone, Spring Byington, Bruce Bennett, Marvin Kaplan, Ellen Corby, Jeff Richards, John Gallaudet, King Donovan, Don Haggerty, Paul Salata, Fred Graham","A young woman reporter blames the Pittsburgh Pirates' losing streak on the obscenely abusive manager. While she attempts to learn more about him for her column, he begins hearing the voice ...",7.1,1902,,,,,30,19,3,1,1
705,Singin' in the Rain,1-Jan-52,,http://us.imdb.com/M/title-exact?Singin'%20in%20the%20Rain%20(1952),tt0045152,Singin' in the Rain,1952,1/16/53,"Comedy, Musical, Romance",103,USA,English,"Stanley Donen, Gene Kelly","Betty Comden, Adolph Green",Metro-Goldwyn-Mayer (MGM),"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell, Cyd Charisse, Douglas Fowley, Rita Moreno",A silent film production company and cast make a difficult transition to sound.,8.3,202701,"$2,540,800 ","$1,826,108 ","$1,864,182 ",99,619,150,3,1,1
726,Fluke,1-Jan-95,,http://us.imdb.com/M/title-exact?Fluke%20(1995),tt0113089,Fluke,1995,6/2/95,"Drama, Family, Fantasy",96,USA,English,Carlo Carlei,"James Herbert, Carlo Carlei",Metro-Goldwyn-Mayer (MGM),"Samuel L. Jackson, Matthew Modine, Nancy Travis, Eric Stoltz, Max Pomeranc, Ron Perlman, Jon Polito, Bill Cobbs, Collin Wilcox Paxton, Federico Pacifici, Clarinda Ross, Adrian Roberts, Bart Hansard, Deborah Hobart, Libby Whittemore","After a man dies in a car crash, he is reincarnated as a dog and attempts to reconnect with his family.",6.7,6189,"$15,000,000 ","$3,987,768 ","$3,987,768 ",,46,25,3,1,1
747,Benny & Joon,1-Jan-93,,http://us.imdb.com/M/title-exact?Benny%20&%20Joon%20(1993),tt0106387,Benny & Joon,1993,7/9/93,"Comedy, Drama, Romance",98,USA,English,Jeremiah S. Chechik,"Barry Berman, Lesley McNeil",Metro-Goldwyn-Mayer (MGM),"Johnny Depp, Mary Stuart Masterson, Aidan Quinn, Julianne Moore, Oliver Platt, CCH Pounder, Dan Hedaya, Joe Grifasi, William H. Macy, Liane Curtis, Eileen Ryan, Don Hamilton, Waldo Larson, Irvin Johnson, Shane Nilsson",A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,7.2,52339,,"$23,261,580 ","$23,261,580 ",57,169,35,3,1,1
754,Red Corner,1-Jan-97,,http://us.imdb.com/M/title-exact?Red+Corner+(1997),tt0119994,Red Corner,1997,6/5/98,"Crime, Drama, Thriller",122,USA,"English, Mandarin",Jon Avnet,Robert King,Metro-Goldwyn-Mayer (MGM),"Richard Gere, Bai Ling, Bradley Whitford, Byron Mann, Peter Donat, Robert Stanton, Tsai Chin, James Hong, Tzi Ma, Ulrich Matschoss, Richard Venture, Jessey Meng, Roger Yuan, Chi Yu Li, Henry O","An American attorney on business in China is wrongfully arrested and put on trial for murder, with a female defense lawyer from the country the only key to proving his innocence.",6.3,15360,"$48,000,000 ","$22,459,274 ","$22,459,274 ",,79,33,3,1,1
